timestamp,device,cpu_percent,rss_mb
2026-08-11 20:50:36,Motor1,36.6,261.1
2026-08-11 20:50:41,Motor1,4.3,261.4
2026-08-11 20:50:46,Motor1,6.2,261.4
2026-08-11 20:50:52,Motor1,6.5,261.4
2026-08-11 20:50:57,Motor1,6.2,261.4
2026-08-11 20:51:02,Motor1,6.0,261.4
2026-08-11 20:51:07,Motor1,6.2,261.4
2026-08-11 20:51:12,Motor1,6.4,261.4
2026-08-11 20:51:18,Motor1,6.9,261.4
2026-08-11 20:51:23,Motor1,6.0,261.4
2026-08-11 20:51:28,Motor1,6.7,261.4
2026-08-11 20:51:33,Motor1,5.9,261.4
2026-08-11 20:51:38,Motor1,6.4,261.4
2026-08-11 20:51:44,Motor1,6.2,261.4
2026-08-11 20:51:49,Motor1,5.0,261.4
2026-08-11 20:51:49,Motor4,75.4,261.1
2026-08-11 20:51:54,Motor1,3.3,261.4
2026-08-11 20:51:54,Motor4,2.9,261.1
2026-08-11 20:51:59,Motor1,5.7,261.4
2026-08-11 20:51:59,Motor4,5.7,261.4
2026-08-11 20:52:04,Motor1,6.2,261.4
2026-08-11 20:52:04,Motor4,6.2,261.4
2026-08-11 20:52:09,Motor1,6.6,261.4
2026-08-11 20:52:09,Motor4,6.2,261.4
2026-08-11 20:52:14,Motor1,6.6,261.4
2026-08-11 20:52:14,Motor4,6.0,261.4
2026-08-11 20:52:20,Motor1,6.4,261.4
2026-08-11 20:52:20,Motor4,6.0,261.4
2026-08-11 20:52:25,Motor1,6.2,261.4
2026-08-11 20:52:25,Motor4,6.0,261.4
2026-08-11 20:52:30,Motor1,6.2,261.4
2026-08-11 20:52:30,Motor4,6.0,261.4
2026-08-11 20:52:35,Motor1,6.2,261.4
2026-08-11 20:52:35,Motor4,6.2,261.4
2026-08-11 20:52:40,Motor1,6.0,261.4
2026-08-11 20:52:40,Motor4,5.8,261.4
2026-08-11 20:52:46,Motor1,6.2,261.4
2026-08-11 20:52:46,Motor4,6.2,261.4
2026-08-11 20:52:51,Motor1,6.6,261.4
2026-08-11 20:52:51,Motor4,5.2,261.4
2026-08-11 20:52:56,Motor1,4.2,261.4
2026-08-11 20:52:56,Motor4,5.4,261.4
2026-08-11 20:52:56,Motor7,59.8,261.1
2026-08-11 20:53:01,Motor1,3.3,261.4
2026-08-11 20:53:01,Motor4,3.1,261.4
2026-08-11 20:53:01,Motor7,3.3,261.1
2026-08-11 20:53:06,Motor1,5.6,261.4
2026-08-11 20:53:06,Motor4,5.6,261.4
