timestamp,device,cpu_percent,rss_mb
2026-08-12 02:51:03,Motor2,40.6,260.1
2026-08-12 02:51:08,Motor2,3.2,260.2
2026-08-12 02:51:13,Motor2,7.5,260.3
2026-08-12 02:51:18,Motor2,2.7,260.3
2026-08-12 02:51:23,Motor2,2.9,260.3
2026-08-12 02:51:28,Motor2,2.9,260.3
2026-08-12 02:51:33,Motor2,2.5,260.3
2026-08-12 02:51:38,Motor2,2.9,260.3
2026-08-12 02:51:43,Motor2,2.7,260.3
2026-08-12 02:51:48,Motor2,2.7,260.3
2026-08-12 02:51:54,Motor2,2.9,260.3
2026-08-12 02:51:59,Motor2,2.7,260.3
2026-08-12 02:52:04,Motor2,2.9,260.3
2026-08-12 02:52:09,Motor2,3.1,260.3
2026-08-12 02:52:09,Motor5,63.4,260.6
2026-08-12 02:52:14,Motor2,3.0,260.3
2026-08-12 02:52:14,Motor5,3.4,260.1
2026-08-12 02:52:19,Motor2,6.7,260.3
2026-08-12 02:52:19,Motor5,6.1,260.2
2026-08-12 02:52:24,Motor2,2.7,260.3
2026-08-12 02:52:24,Motor5,2.7,260.2
2026-08-12 02:52:29,Motor2,2.7,260.3
2026-08-12 02:52:29,Motor5,2.7,260.2
2026-08-12 02:52:34,Motor2,2.7,260.3
2026-08-12 02:52:34,Motor5,2.9,260.2
2026-08-12 02:52:40,Motor2,7.0,260.3
2026-08-12 02:52:40,Motor5,5.6,260.2
2026-08-12 02:52:45,Motor2,6.9,260.3
2026-08-12 02:52:45,Motor5,4.7,260.2
2026-08-12 02:52:50,Motor2,2.9,260.3
2026-08-12 02:52:50,Motor5,2.7,260.2
2026-08-12 02:52:55,Motor2,2.7,260.3
2026-08-12 02:52:55,Motor5,2.9,260.2
2026-08-12 02:53:00,Motor2,2.9,260.3
2026-08-12 02:53:00,Motor5,2.9,260.2
2026-08-12 02:53:05,Motor2,2.7,260.3
2026-08-12 02:53:05,Motor5,2.5,260.2
2026-08-12 02:53:10,Motor2,2.7,260.3
2026-08-12 02:53:10,Motor5,2.9,260.2
2026-08-12 02:53:15,Motor2,3.1,260.3
2026-08-12 02:53:15,Motor5,3.1,260.2
2026-08-12 02:53:15,Motor8,57.4,260.2
2026-08-12 02:53:20,Motor2,2.8,260.3
2026-08-12 02:53:20,Motor5,2.8,260.2
2026-08-12 02:53:20,Motor8,2.8,260.2
2026-08-12 02:53:25,Motor2,2.9,260.3
2026-08-12 02:53:25,Motor5,2.9,260.2
2026-08-12 02:53:25,Motor8,2.9,260.4
2026-08-12 02:53:31,Motor2,2.7,260.3
2026-08-12 02:53:31,Motor5,2.7,260.2
2026-08-12 02:53:31,Motor8,2.9,260.4
2026-08-12 02:53:36,Motor2,2.7,260.3
2026-08-12 02:53:36,Motor5,2.9,260.2
2026-08-12 02:53:36,Motor8,2.7,260.4
2026-08-12 02:53:41,Motor2,2.7,260.3
2026-08-12 02:53:41,Motor5,2.7,260.2
2026-08-12 02:53:41,Motor8,2.7,260.4
2026-08-12 02:53:46,Motor2,2.9,260.3
2026-08-12 02:53:46,Motor5,2.9,260.2
2026-08-12 02:53:46,Motor8,2.9,260.4
2026-08-12 02:53:51,Motor2,2.7,260.3
2026-08-12 02:53:51,Motor5,2.7,260.2
2026-08-12 02:53:51,Motor8,2.7,260.4
2026-08-12 02:53:56,Motor2,2.9,260.3
2026-08-12 02:53:56,Motor5,2.9,260.2
2026-08-12 02:53:56,Motor8,2.7,261.2
2026-08-12 02:54:01,Motor2,2.7,260.3
2026-08-12 02:54:01,Motor5,2.7,260.2
2026-08-12 02:54:01,Motor8,2.5,262.2
2026-08-12 02:54:06,Motor2,54.3,317.6
2026-08-12 02:54:06,Motor5,3.1,260.2
2026-08-12 02:54:06,Motor8,2.7,263.5
2026-08-12 02:54:11,Motor2,11.2,260.8
2026-08-12 02:54:11,Motor5,2.7,260.2
2026-08-12 02:54:11,Motor8,2.6,264.7
2026-08-12 02:54:17,Motor2,2.7,260.8
2026-08-12 02:54:17,Motor5,2.9,260.2
2026-08-12 02:54:17,Motor8,2.3,265.9
2026-08-12 02:54:22,Motor2,2.7,260.8
2026-08-12 02:54:22,Motor5,2.7,260.2
2026-08-12 02:54:22,Motor8,2.7,267.1
2026-08-12 02:54:27,Motor2,2.7,260.8
2026-08-12 02:54:27,Motor5,2.7,260.2
2026-08-12 02:54:27,Motor8,2.9,267.5
2026-08-12 02:54:32,Motor2,2.9,260.8
2026-08-12 02:54:32,Motor5,2.9,260.2
2026-08-12 02:54:32,Motor8,3.9,267.5
2026-08-12 02:54:37,Motor2,2.7,260.8
2026-08-12 02:54:37,Motor5,2.9,260.2
2026-08-12 02:54:37,Motor8,3.9,264.7
2026-08-12 02:54:42,Motor2,2.7,260.8
2026-08-12 02:54:42,Motor5,2.7,260.2
2026-08-12 02:54:42,Motor8,2.7,264.7
2026-08-12 02:54:47,Motor2,2.7,260.8
2026-08-12 02:54:47,Motor5,2.9,260.2
2026-08-12 02:54:47,Motor8,2.9,264.7
2026-08-12 02:54:52,Motor2,2.9,260.8
2026-08-12 02:54:52,Motor5,2.7,260.2
2026-08-12 02:54:52,Motor8,2.7,264.7
2026-08-12 02:54:57,Motor2,2.7,260.8
2026-08-12 02:54:57,Motor5,2.9,260.2
2026-08-12 02:54:57,Motor8,2.7,264.7
2026-08-12 02:55:03,Motor2,2.9,260.8
2026-08-12 02:55:03,Motor5,2.7,260.2
2026-08-12 02:55:03,Motor8,2.9,264.7
2026-08-12 02:55:08,Motor2,2.7,260.8
2026-08-12 02:55:08,Motor5,2.9,260.2
2026-08-12 02:55:08,Motor8,2.9,264.7
2026-08-12 02:55:13,Motor2,3.1,260.8
2026-08-12 02:55:13,Motor5,29.3,303.5
2026-08-12 02:55:13,Motor8,2.7,264.7
2026-08-12 02:55:18,Motor2,2.9,260.8
2026-08-12 02:55:18,Motor5,36.6,260.7
2026-08-12 02:55:18,Motor8,3.1,264.7
2026-08-12 02:55:23,Motor2,3.7,260.8
2026-08-12 02:55:23,Motor5,3.9,260.7
2026-08-12 02:55:23,Motor8,2.8,264.7
2026-08-12 02:55:28,Motor2,6.7,260.8
2026-08-12 02:55:28,Motor5,6.9,260.7
2026-08-12 02:55:28,Motor8,6.1,264.7
2026-08-12 02:55:33,Motor2,2.8,260.8
2026-08-12 02:55:33,Motor5,2.2,260.7
2026-08-12 02:55:33,Motor8,2.4,264.7
2026-08-12 02:55:38,Motor2,2.7,260.8
2026-08-12 02:55:38,Motor5,4.5,260.7
2026-08-12 02:55:38,Motor8,4.1,264.7
2026-08-12 02:55:43,Motor2,2.9,260.8
2026-08-12 02:55:43,Motor5,4.1,260.7
2026-08-12 02:55:43,Motor8,3.7,264.7
2026-08-12 02:55:48,Motor2,2.7,260.8
2026-08-12 02:55:48,Motor5,3.5,260.7
2026-08-12 02:55:48,Motor8,3.3,264.7
2026-08-12 02:55:54,Motor2,2.7,260.8
2026-08-12 02:55:54,Motor5,3.7,260.7
2026-08-12 02:55:54,Motor8,3.3,264.7
2026-08-12 02:55:59,Motor2,2.7,260.8
2026-08-12 02:55:59,Motor5,3.5,260.7
2026-08-12 02:55:59,Motor8,3.3,264.7
2026-08-12 02:56:04,Motor2,2.9,260.8
2026-08-12 02:56:04,Motor5,3.7,260.7
2026-08-12 02:56:04,Motor8,2.9,264.7
2026-08-12 02:56:09,Motor2,2.9,260.8
2026-08-12 02:56:09,Motor5,3.5,260.7
2026-08-12 02:56:09,Motor8,3.5,264.7
2026-08-12 02:56:14,Motor2,2.7,260.8
2026-08-12 02:56:14,Motor5,2.9,260.7
2026-08-12 02:56:14,Motor8,2.9,264.7
