2026-08-12T01:52:16,flex-tig-stack-telegraf-1,16.91%,90.23MiB / 7.62GiB
2026-08-12T01:52:16,flex-tig-stack-grafana-1,0.11%,82.89MiB / 7.62GiB
2026-08-12T01:52:16,flex-tig-stack-influxdb-1,13.12%,109.3MiB / 7.62GiB
2026-08-12T01:52:22,flex-tig-stack-telegraf-1,15.31%,90.03MiB / 7.62GiB
2026-08-12T01:52:22,flex-tig-stack-grafana-1,0.04%,82.89MiB / 7.62GiB
2026-08-12T01:52:22,flex-tig-stack-influxdb-1,13.29%,138.4MiB / 7.62GiB
2026-08-12T01:52:30,flex-tig-stack-telegraf-1,23.15%,89.56MiB / 7.62GiB
2026-08-12T01:52:30,flex-tig-stack-grafana-1,0.06%,82.89MiB / 7.62GiB
2026-08-12T01:52:30,flex-tig-stack-influxdb-1,17.59%,166.8MiB / 7.62GiB
2026-08-12T01:52:38,flex-tig-stack-telegraf-1,19.39%,90.54MiB / 7.62GiB
2026-08-12T01:52:38,flex-tig-stack-grafana-1,0.09%,82.89MiB / 7.62GiB
2026-08-12T01:52:38,flex-tig-stack-influxdb-1,13.30%,105.8MiB / 7.62GiB
2026-08-12T01:52:46,flex-tig-stack-telegraf-1,18.18%,89.93MiB / 7.62GiB
2026-08-12T01:52:46,flex-tig-stack-grafana-1,0.07%,82.89MiB / 7.62GiB
2026-08-12T01:52:46,flex-tig-stack-influxdb-1,13.36%,144.1MiB / 7.62GiB
2026-08-12T01:52:52,flex-tig-stack-telegraf-1,15.32%,89.81MiB / 7.62GiB
2026-08-12T01:52:52,flex-tig-stack-grafana-1,0.03%,82.89MiB / 7.62GiB
2026-08-12T01:52:52,flex-tig-stack-influxdb-1,15.21%,189.3MiB / 7.62GiB
2026-08-12T01:53:00,flex-tig-stack-telegraf-1,16.77%,92.97MiB / 7.62GiB
2026-08-12T01:53:00,flex-tig-stack-grafana-1,0.06%,81.16MiB / 7.62GiB
2026-08-12T01:53:00,flex-tig-stack-influxdb-1,22.72%,121MiB / 7.62GiB
2026-08-12T01:53:08,flex-tig-stack-telegraf-1,22.62%,90.25MiB / 7.62GiB
2026-08-12T01:53:08,flex-tig-stack-grafana-1,0.07%,81.16MiB / 7.62GiB
2026-08-12T01:53:08,flex-tig-stack-influxdb-1,20.50%,168.4MiB / 7.62GiB
2026-08-12T01:53:16,flex-tig-stack-telegraf-1,26.09%,92.3MiB / 7.62GiB
2026-08-12T01:53:16,flex-tig-stack-grafana-1,0.98%,81.16MiB / 7.62GiB
2026-08-12T01:53:16,flex-tig-stack-influxdb-1,22.85%,111MiB / 7.62GiB
2026-08-12T01:53:22,flex-tig-stack-telegraf-1,24.70%,88.25MiB / 7.62GiB
2026-08-12T01:53:22,flex-tig-stack-grafana-1,12.91%,81.41MiB / 7.62GiB
2026-08-12T01:53:22,flex-tig-stack-influxdb-1,37.46%,169.2MiB / 7.62GiB
2026-08-12T01:53:30,flex-tig-stack-telegraf-1,25.68%,90.66MiB / 7.62GiB
2026-08-12T01:53:30,flex-tig-stack-grafana-1,0.06%,81.99MiB / 7.62GiB
2026-08-12T01:53:30,flex-tig-stack-influxdb-1,22.57%,102.5MiB / 7.62GiB
2026-08-12T01:53:38,flex-tig-stack-telegraf-1,22.59%,89.06MiB / 7.62GiB
2026-08-12T01:53:38,flex-tig-stack-grafana-1,0.29%,81.99MiB / 7.62GiB
2026-08-12T01:53:38,flex-tig-stack-influxdb-1,26.19%,161.3MiB / 7.62GiB
2026-08-12T01:53:46,flex-tig-stack-telegraf-1,24.41%,92.89MiB / 7.62GiB
2026-08-12T01:53:46,flex-tig-stack-grafana-1,1.27%,81.99MiB / 7.62GiB
2026-08-12T01:53:46,flex-tig-stack-influxdb-1,27.53%,118MiB / 7.62GiB
2026-08-12T01:53:53,flex-tig-stack-telegraf-1,15.16%,94.21MiB / 7.62GiB
2026-08-12T01:53:53,flex-tig-stack-grafana-1,0.08%,81.99MiB / 7.62GiB
2026-08-12T01:53:53,flex-tig-stack-influxdb-1,13.82%,164.3MiB / 7.62GiB
2026-08-12T01:54:01,flex-tig-stack-telegraf-1,26.75%,93.43MiB / 7.62GiB
2026-08-12T01:54:01,flex-tig-stack-grafana-1,1.58%,81.98MiB / 7.62GiB
2026-08-12T01:54:01,flex-tig-stack-influxdb-1,22.65%,112.4MiB / 7.62GiB
2026-08-12T01:54:09,flex-tig-stack-telegraf-1,14.55%,90.5MiB / 7.62GiB
2026-08-12T01:54:09,flex-tig-stack-grafana-1,0.05%,81.98MiB / 7.62GiB
2026-08-12T01:54:09,flex-tig-stack-influxdb-1,9.38%,167.4MiB / 7.62GiB
2026-08-12T01:54:17,flex-tig-stack-telegraf-1,32.45%,94.88MiB / 7.62GiB
2026-08-12T01:54:17,flex-tig-stack-grafana-1,0.03%,81.98MiB / 7.62GiB
2026-08-12T01:54:17,flex-tig-stack-influxdb-1,29.25%,114.4MiB / 7.62GiB
2026-08-12T01:54:24,flex-tig-stack-telegraf-1,19.22%,91.02MiB / 7.62GiB
2026-08-12T01:54:24,flex-tig-stack-grafana-1,0.08%,82.28MiB / 7.62GiB
2026-08-12T01:54:24,flex-tig-stack-influxdb-1,15.58%,169.7MiB / 7.62GiB
2026-08-12T01:54:31,flex-tig-stack-telegraf-1,47.75%,109.5MiB / 7.62GiB
2026-08-12T01:54:31,flex-tig-stack-grafana-1,0.04%,82.28MiB / 7.62GiB
2026-08-12T01:54:31,flex-tig-stack-influxdb-1,39.95%,119.8MiB / 7.62GiB
2026-08-12T01:54:39,flex-tig-stack-telegraf-1,39.12%,89.88MiB / 7.62GiB
2026-08-12T01:54:39,flex-tig-stack-grafana-1,0.07%,82.28MiB / 7.62GiB
2026-08-12T01:54:39,flex-tig-stack-influxdb-1,19.25%,168.3MiB / 7.62GiB
2026-08-12T01:54:47,flex-tig-stack-telegraf-1,23.96%,93.87MiB / 7.62GiB
2026-08-12T01:54:47,flex-tig-stack-grafana-1,0.03%,82.28MiB / 7.62GiB
2026-08-12T01:54:47,flex-tig-stack-influxdb-1,21.03%,134.4MiB / 7.62GiB
2026-08-12T01:54:55,flex-tig-stack-telegraf-1,26.82%,93.44MiB / 7.62GiB
2026-08-12T01:54:55,flex-tig-stack-grafana-1,0.07%,82.52MiB / 7.62GiB
2026-08-12T01:54:55,flex-tig-stack-influxdb-1,24.10%,186.7MiB / 7.62GiB
2026-08-12T01:55:02,flex-tig-stack-telegraf-1,24.89%,101.5MiB / 7.62GiB
2026-08-12T01:55:02,flex-tig-stack-grafana-1,1.00%,83MiB / 7.62GiB
2026-08-12T01:55:02,flex-tig-stack-influxdb-1,24.26%,134.1MiB / 7.62GiB
2026-08-12T01:55:10,flex-tig-stack-telegraf-1,23.73%,93.06MiB / 7.62GiB
2026-08-12T01:55:10,flex-tig-stack-grafana-1,0.05%,81.99MiB / 7.62GiB
2026-08-12T01:55:10,flex-tig-stack-influxdb-1,25.32%,180.9MiB / 7.62GiB
2026-08-12T01:55:18,flex-tig-stack-telegraf-1,31.34%,95.17MiB / 7.62GiB
2026-08-12T01:55:18,flex-tig-stack-grafana-1,0.05%,81.99MiB / 7.62GiB
2026-08-12T01:55:18,flex-tig-stack-influxdb-1,29.68%,142.2MiB / 7.62GiB
2026-08-12T01:55:26,flex-tig-stack-telegraf-1,24.36%,97.13MiB / 7.62GiB
2026-08-12T01:55:26,flex-tig-stack-grafana-1,0.03%,81.99MiB / 7.62GiB
2026-08-12T01:55:26,flex-tig-stack-influxdb-1,21.61%,178.4MiB / 7.62GiB
2026-08-12T01:55:33,flex-tig-stack-telegraf-1,28.65%,94.12MiB / 7.62GiB
2026-08-12T01:55:34,flex-tig-stack-grafana-1,0.08%,81.99MiB / 7.62GiB
2026-08-12T01:55:34,flex-tig-stack-influxdb-1,25.63%,135.3MiB / 7.62GiB
2026-08-12T01:55:41,flex-tig-stack-telegraf-1,8.56%,92.48MiB / 7.62GiB
2026-08-12T01:55:41,flex-tig-stack-grafana-1,2.36%,81.98MiB / 7.62GiB
2026-08-12T01:55:41,flex-tig-stack-influxdb-1,11.52%,164MiB / 7.62GiB
2026-08-12T01:55:49,flex-tig-stack-telegraf-1,0.52%,89.87MiB / 7.62GiB
2026-08-12T01:55:49,flex-tig-stack-grafana-1,0.09%,81.98MiB / 7.62GiB
2026-08-12T01:55:49,flex-tig-stack-influxdb-1,6.52%,182.1MiB / 7.62GiB
2026-08-12T01:55:57,flex-tig-stack-telegraf-1,10.33%,88.25MiB / 7.62GiB
2026-08-12T01:55:57,flex-tig-stack-grafana-1,0.04%,82.21MiB / 7.62GiB
2026-08-12T01:55:57,flex-tig-stack-influxdb-1,9.34%,110.5MiB / 7.62GiB
