timestamp,device,cpu_percent,rss_mb
2026-08-12 02:15:10,Motor2,54.6,260.3
2026-08-12 02:15:15,Motor2,3.0,260.3
2026-08-12 02:15:20,Motor2,2.9,260.4
2026-08-12 02:15:25,Motor2,2.7,260.4
2026-08-12 02:15:30,Motor2,2.7,260.4
2026-08-12 02:15:35,Motor2,2.9,260.4
2026-08-12 02:15:41,Motor2,2.7,260.4
2026-08-12 02:15:46,Motor2,2.9,260.4
2026-08-12 02:15:51,Motor2,2.7,260.4
2026-08-12 02:15:56,Motor2,2.7,260.4
2026-08-12 02:16:01,Motor2,2.9,260.4
2026-08-12 02:16:06,Motor2,2.9,260.4
2026-08-12 02:16:11,Motor2,2.9,260.4
2026-08-12 02:16:16,Motor2,3.0,260.4
2026-08-12 02:16:16,Motor5,24.6,260.2
2026-08-12 02:16:21,Motor2,2.8,260.4
2026-08-12 02:16:21,Motor5,3.0,260.4
2026-08-12 02:16:26,Motor2,2.7,260.4
2026-08-12 02:16:26,Motor5,2.7,260.4
2026-08-12 02:16:32,Motor2,3.1,260.4
2026-08-12 02:16:32,Motor5,2.9,260.4
2026-08-12 02:16:37,Motor2,2.7,260.4
2026-08-12 02:16:37,Motor5,2.7,260.4
2026-08-12 02:16:42,Motor2,2.7,260.4
2026-08-12 02:16:42,Motor5,2.9,260.4
2026-08-12 02:16:47,Motor2,2.9,260.4
2026-08-12 02:16:47,Motor5,2.9,260.4
2026-08-12 02:16:52,Motor2,2.7,260.4
2026-08-12 02:16:52,Motor5,2.7,260.4
2026-08-12 02:16:57,Motor2,2.7,260.4
2026-08-12 02:16:57,Motor5,2.7,260.4
2026-08-12 02:17:02,Motor2,2.9,260.4
2026-08-12 02:17:02,Motor5,2.9,260.4
2026-08-12 02:17:07,Motor2,2.9,260.4
2026-08-12 02:17:07,Motor5,2.7,260.4
2026-08-12 02:17:12,Motor2,2.9,260.4
2026-08-12 02:17:12,Motor5,2.9,260.4
2026-08-12 02:17:18,Motor2,2.9,260.4
2026-08-12 02:17:18,Motor5,2.9,260.4
2026-08-12 02:17:23,Motor2,3.0,260.4
2026-08-12 02:17:23,Motor5,3.0,260.4
2026-08-12 02:17:23,Motor8,20.2,260.2
2026-08-12 02:17:28,Motor2,3.9,260.4
2026-08-12 02:17:28,Motor5,3.5,260.4
2026-08-12 02:17:28,Motor8,3.3,260.3
2026-08-12 02:17:33,Motor2,4.2,260.4
2026-08-12 02:17:33,Motor5,5.0,260.4
2026-08-12 02:17:33,Motor8,4.2,260.3
2026-08-12 02:17:38,Motor2,4.6,260.4
2026-08-12 02:17:38,Motor5,5.1,260.4
2026-08-12 02:17:38,Motor8,3.8,260.3
2026-08-12 02:17:43,Motor2,2.9,260.4
2026-08-12 02:17:43,Motor5,2.9,260.4
2026-08-12 02:17:43,Motor8,2.7,260.3
2026-08-12 02:17:48,Motor2,2.7,260.4
2026-08-12 02:17:48,Motor5,2.9,260.4
2026-08-12 02:17:48,Motor8,2.7,260.3
2026-08-12 02:17:53,Motor2,2.9,260.4
2026-08-12 02:17:53,Motor5,2.7,260.4
2026-08-12 02:17:53,Motor8,2.9,260.3
2026-08-12 02:17:58,Motor2,3.3,260.4
2026-08-12 02:17:58,Motor5,3.1,260.4
2026-08-12 02:17:58,Motor8,2.9,260.3
2026-08-12 02:18:03,Motor2,3.5,260.4
2026-08-12 02:18:03,Motor5,2.7,260.4
2026-08-12 02:18:03,Motor8,2.7,260.3
2026-08-12 02:18:08,Motor2,3.3,260.4
2026-08-12 02:18:08,Motor5,2.9,260.4
2026-08-12 02:18:08,Motor8,2.7,260.3
2026-08-12 02:18:14,Motor2,39.1,311.7
2026-08-12 02:18:14,Motor5,2.9,260.4
2026-08-12 02:18:14,Motor8,2.9,260.3
2026-08-12 02:18:19,Motor2,27.0,260.4
2026-08-12 02:18:19,Motor5,2.8,260.4
2026-08-12 02:18:19,Motor8,3.2,260.3
2026-08-12 02:18:24,Motor2,2.8,260.4
2026-08-12 02:18:24,Motor5,3.0,260.4
2026-08-12 02:18:24,Motor8,2.8,260.3
2026-08-12 02:18:29,Motor2,3.6,260.4
2026-08-12 02:18:29,Motor5,3.0,260.4
2026-08-12 02:18:29,Motor8,3.4,260.3
2026-08-12 02:18:34,Motor2,3.0,260.4
2026-08-12 02:18:34,Motor5,3.8,260.4
2026-08-12 02:18:34,Motor8,3.4,260.3
2026-08-12 02:18:39,Motor2,4.6,260.4
2026-08-12 02:18:39,Motor5,4.6,260.4
2026-08-12 02:18:39,Motor8,4.2,260.3
2026-08-12 02:18:44,Motor2,5.7,260.4
2026-08-12 02:18:44,Motor5,4.6,260.4
2026-08-12 02:18:44,Motor8,5.2,260.3
2026-08-12 02:18:49,Motor2,3.4,260.4
2026-08-12 02:18:49,Motor5,2.2,260.4
2026-08-12 02:18:49,Motor8,3.6,260.3
2026-08-12 02:18:54,Motor2,2.9,260.4
2026-08-12 02:18:54,Motor5,3.7,260.4
2026-08-12 02:18:54,Motor8,2.9,260.3
2026-08-12 02:18:59,Motor2,2.9,260.4
2026-08-12 02:18:59,Motor5,3.3,260.4
2026-08-12 02:18:59,Motor8,2.7,260.3
