"Time","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor1/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor2/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor3/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor4/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor5/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor6/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor7/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor8/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor9/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor2/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor3/Analysis/Diagnosis/prediction""}"
2026-08-11 20:14:50,1558,,,,,,,,,,
2026-08-11 20:14:50,758,,,,,,,,,,
2026-08-11 20:14:51,513,,,,,,,,,,
2026-08-11 20:14:52,609,,,,,,,,,,
2026-08-11 20:14:53,611,,,,,,,,,,
2026-08-11 20:14:54,609,,,,,,,,,,
2026-08-11 20:14:55,613,,,,,,,,,,
2026-08-11 20:14:56,578,,,,,,,,,,
2026-08-11 20:14:57,611,,,,,,,,,,
2026-08-11 20:14:58,609,,,,,,,,,,
2026-08-11 20:14:59,612,,,,,,,,,,
2026-08-11 20:15:00,610,,,,,,,,,,
2026-08-11 20:15:02,611,,,,,,,,,,
2026-08-11 20:15:03,589,,,,,,,,,,
2026-08-11 20:15:04,602,,,,,,,,,,
2026-08-11 20:15:05,614,,,,,,,,,,
2026-08-11 20:15:06,609,,,,,,,,,,
2026-08-11 20:15:07,609,,,,,,,,,,
2026-08-11 20:15:08,611,,,,,,,,,,
2026-08-11 20:15:09,589,,,,,,,,,,
2026-08-11 20:15:09,,1196,,,,,,,,1196,
2026-08-11 20:15:09,,385,,,,,,,,385,
2026-08-11 20:15:10,436,,,,,,,,,,
2026-08-11 20:15:10,,219,,,,,,,,219,
2026-08-11 20:15:11,524,,,,,,,,,,
2026-08-11 20:15:11,,434,,,,,,,,434,
2026-08-11 20:15:12,525,,,,,,,,,,
2026-08-11 20:15:13,532,,,,,,,,,,
2026-08-11 20:15:13,,461,,,,,,,,461,
2026-08-11 20:15:14,529,,,,,,,,,,
2026-08-11 20:15:14,,455,,,,,,,,455,
2026-08-11 20:15:15,496,,,,,,,,,,
2026-08-11 20:15:15,,465,,,,,,,,465,
2026-08-11 20:15:16,521,,,,,,,,,,
2026-08-11 20:15:16,,349,,,,,,,,349,
2026-08-11 20:15:17,535,,,,,,,,,,
2026-08-11 20:15:18,,447,,,,,,,,447,
2026-08-11 20:15:18,523,,,,,,,,,,
2026-08-11 20:15:19,,465,,,,,,,,465,
2026-08-11 20:15:19,568,,,,,,,,,,
2026-08-11 20:15:19,,380,,,,,,,,380,
2026-08-11 20:15:20,498,,,,,,,,,,
2026-08-11 20:15:21,,467,,,,,,,,467,
2026-08-11 20:15:21,525,,,,,,,,,,
2026-08-11 20:15:21,,378,,,,,,,,378,
2026-08-11 20:15:22,530,,,,,,,,,,
2026-08-11 20:15:22,,367,,,,,,,,367,
2026-08-11 20:15:23,528,,,,,,,,,,
2026-08-11 20:15:23,,377,,,,,,,,377,
2026-08-11 20:15:24,527,,,,,,,,,,
2026-08-11 20:15:24,,359,,,,,,,,359,
2026-08-11 20:15:25,523,,,,,,,,,,
2026-08-11 20:15:26,,377,,,,,,,,377,
2026-08-11 20:15:26,497,,,,,,,,,,
2026-08-11 20:15:26,,,1200,,,,,,,,1200
2026-08-11 20:15:27,,,301,,,,,,,,301
2026-08-11 20:15:27,,470,,,,,,,,470,
2026-08-11 20:15:27,435,,,,,,,,,,
2026-08-11 20:15:27,,,212,,,,,,,,212
2026-08-11 20:15:28,,529,,,,,,,,529,
2026-08-11 20:15:28,570,,,,,,,,,,
2026-08-11 20:15:29,,,338,,,,,,,,338
2026-08-11 20:15:29,,484,,,,,,,,484,
2026-08-11 20:15:29,521,,,,,,,,,,
2026-08-11 20:15:30,,,316,,,,,,,,316
2026-08-11 20:15:30,,544,,,,,,,,544,
2026-08-11 20:15:31,527,,,,,,,,,,
2026-08-11 20:15:31,,,400,,,,,,,,400
2026-08-11 20:15:31,,574,,,,,,,,574,
2026-08-11 20:15:32,545,,,,,,,,,,
2026-08-11 20:15:32,,,508,,,,,,,,508
2026-08-11 20:15:32,,781,,,,,,,,781,
2026-08-11 20:15:32,286,,,,,,,,,,
2026-08-11 20:15:33,,,245,,,,,,,,245
2026-08-11 20:15:33,,583,,,,,,,,583,
2026-08-11 20:15:34,,,313,,,,,,,,313
2026-08-11 20:15:34,628,,,,,,,,,,
2026-08-11 20:15:34,,540,,,,,,,,540,
2026-08-11 20:15:35,,,301,,,,,,,,301
2026-08-11 20:15:35,558,,,,,,,,,,
2026-08-11 20:15:35,,722,,,,,,,,722,
2026-08-11 20:15:35,,,220,,,,,,,,220
2026-08-11 20:15:36,575,,,,,,,,,,
2026-08-11 20:15:36,,533,,,,,,,,533,
2026-08-11 20:15:37,,,328,,,,,,,,328
2026-08-11 20:15:37,524,,,,,,,,,,
2026-08-11 20:15:37,,686,,,,,,,,686,
2026-08-11 20:15:38,,,224,,,,,,,,224
2026-08-11 20:15:38,581,,,,,,,,,,
2026-08-11 20:15:38,,534,,,,,,,,534,
2026-08-11 20:15:39,,,301,,,,,,,,301
2026-08-11 20:15:39,462,,,,,,,,,,
2026-08-11 20:15:39,,685,,,,,,,,685,
2026-08-11 20:15:40,,,221,,,,,,,,221
2026-08-11 20:15:40,588,,,,,,,,,,
2026-08-11 20:15:40,,585,,,,,,,,585,
2026-08-11 20:15:41,,,220,,,,,,,,220
2026-08-11 20:15:41,506,,,,,,,,,,
2026-08-11 20:15:41,,699,,,,,,,,699,
2026-08-11 20:15:42,,,319,,,,,,,,319
2026-08-11 20:15:42,616,,,,,,,,,,
2026-08-11 20:15:42,,636,,,,,,,,636,
2026-08-11 20:15:43,,,218,,,,,,,,218
2026-08-11 20:15:43,435,,,,,,,,,,
2026-08-11 20:15:43,,741,,,,,,,,741,
2026-08-11 20:15:44,,,220,,,,,,,,220
2026-08-11 20:15:44,443,,,,,,,,,,
2026-08-11 20:15:44,,585,,,,,,,,585,
2026-08-11 20:15:45,,,217,,,,,,,,217
2026-08-11 20:15:45,421,,,,,,,,,,
2026-08-11 20:15:45,,548,,,,,,,,548,
2026-08-11 20:15:46,,,305,,,,,,,,305
2026-08-11 20:15:46,443,,,,,,,,,,
2026-08-11 20:15:46,,589,,,,,,,,589,
2026-08-11 20:15:47,,,302,,,,,,,,302
2026-08-11 20:15:47,422,,,,,,,,,,
2026-08-11 20:15:47,,562,,,,,,,,562,
2026-08-11 20:15:48,,,218,,,,,,,,218
2026-08-11 20:15:48,528,,,,,,,,,,
2026-08-11 20:15:48,,655,,,,,,,,655,
2026-08-11 20:15:49,,,219,,,,,,,,219
2026-08-11 20:15:49,,522,,,,,,,,522,
2026-08-11 20:15:49,577,,,,,,,,,,
2026-08-11 20:15:50,,,220,,,,,,,,220
2026-08-11 20:15:50,,587,,,,,,,,587,
2026-08-11 20:15:50,509,,,,,,,,,,
2026-08-11 20:15:51,,,223,,,,,,,,223
2026-08-11 20:15:51,,382,,,,,,,,382,
2026-08-11 20:15:51,446,,,,,,,,,,
2026-08-11 20:15:52,,,220,,,,,,,,220
2026-08-11 20:15:52,,417,,,,,,,,417,
2026-08-11 20:15:52,430,,,,,,,,,,
2026-08-11 20:15:53,,,222,,,,,,,,222
2026-08-11 20:15:53,,382,,,,,,,,382,
2026-08-11 20:15:53,453,,,,,,,,,,
2026-08-11 20:15:54,,,219,,,,,,,,219
2026-08-11 20:15:54,,380,,,,,,,,380,
2026-08-11 20:15:54,,,,1463,,,,,,,
2026-08-11 20:15:54,430,,,,,,,,,,
2026-08-11 20:15:55,,,213,,,,,,,,213
2026-08-11 20:15:55,,,,1089,,,,,,,
2026-08-11 20:15:55,,381,,,,,,,,381,
2026-08-11 20:15:55,455,,,,,,,,,,
2026-08-11 20:15:55,,,,726,,,,,,,
2026-08-11 20:15:56,,,210,,,,,,,,210
2026-08-11 20:15:56,,375,,,,,,,,375,
2026-08-11 20:15:56,423,,,,,,,,,,
2026-08-11 20:15:56,,,,693,,,,,,,
2026-08-11 20:15:57,,,216,,,,,,,,216
2026-08-11 20:15:57,,607,,,,,,,,607,
2026-08-11 20:15:58,,,,731,,,,,,,
2026-08-11 20:15:58,719,,,,,,,,,,
2026-08-11 20:15:58,,,471,,,,,,,,471
2026-08-11 20:15:58,,374,,,,,,,,374,
2026-08-11 20:15:58,423,,,,,,,,,,
2026-08-11 20:15:59,,,,752,,,,,,,
2026-08-11 20:15:59,,,297,,,,,,,,297
2026-08-11 20:15:59,,590,,,,,,,,590,
2026-08-11 20:16:00,503,,,,,,,,,,
2026-08-11 20:16:00,,,,843,,,,,,,
2026-08-11 20:16:00,,,443,,,,,,,,443
2026-08-11 20:16:00,,367,,,,,,,,367,
2026-08-11 20:16:00,,,,513,,,,,,,
2026-08-11 20:16:01,540,,,,,,,,,,
2026-08-11 20:16:01,,,354,,,,,,,,354
2026-08-11 20:16:01,,392,,,,,,,,392,
2026-08-11 20:16:01,,,,538,,,,,,,
2026-08-11 20:16:02,473,,,,,,,,,,
2026-08-11 20:16:02,,,230,,,,,,,,230
2026-08-11 20:16:02,,366,,,,,,,,366,
2026-08-11 20:16:02,,,,534,,,,,,,
2026-08-11 20:16:03,467,,,,,,,,,,
2026-08-11 20:16:03,,,325,,,,,,,,325
2026-08-11 20:16:03,,372,,,,,,,,372,
2026-08-11 20:16:04,,,,541,,,,,,,
2026-08-11 20:16:04,476,,,,,,,,,,
2026-08-11 20:16:04,,,250,,,,,,,,250
2026-08-11 20:16:04,,363,,,,,,,,363,
2026-08-11 20:16:05,,,,539,,,,,,,
2026-08-11 20:16:05,,,203,,,,,,,,203
2026-08-11 20:16:05,,382,,,,,,,,382,
2026-08-11 20:16:06,,,,508,,,,,,,
2026-08-11 20:16:06,444,,,,,,,,,,
2026-08-11 20:16:06,,,275,,,,,,,,275
2026-08-11 20:16:06,,350,,,,,,,,350,
2026-08-11 20:16:06,,,,370,,,,,,,
2026-08-11 20:16:07,437,,,,,,,,,,
2026-08-11 20:16:07,,,289,,,,,,,,289
2026-08-11 20:16:07,,386,,,,,,,,386,
2026-08-11 20:16:07,,,,372,,,,,,,
2026-08-11 20:16:08,,,246,,,,,,,,246
2026-08-11 20:16:08,647,,,,,,,,,,
2026-08-11 20:16:08,,468,,,,,,,,468,
2026-08-11 20:16:09,,,,422,,,,,,,
2026-08-11 20:16:09,,,214,,,,,,,,214
2026-08-11 20:16:09,505,,,,,,,,,,
2026-08-11 20:16:09,,396,,,,,,,,396,
2026-08-11 20:16:10,,,,366,,,,,,,
2026-08-11 20:16:10,,,214,,,,,,,,214
2026-08-11 20:16:10,473,,,,,,,,,,
2026-08-11 20:16:10,,385,,,,,,,,385,
2026-08-11 20:16:11,,,,367,,,,,,,
2026-08-11 20:16:11,,,205,,,,,,,,205
2026-08-11 20:16:11,461,,,,,,,,,,
2026-08-11 20:16:12,,488,,,,,,,,488,
2026-08-11 20:16:12,,,213,,,,,,,,213
2026-08-11 20:16:12,,,,683,,,,,,,
2026-08-11 20:16:12,714,,,,,,,,,,
2026-08-11 20:16:13,,412,,,,,,,,412,
2026-08-11 20:16:13,,,,365,,,,,,,
2026-08-11 20:16:13,,,336,,,,,,,,336
2026-08-11 20:16:13,559,,,,,,,,,,
2026-08-11 20:16:14,,511,,,,,,,,511,
2026-08-11 20:16:14,,,249,,,,,,,,249
2026-08-11 20:16:14,,,,631,,,,,,,
2026-08-11 20:16:14,,,,,1507,,,,,,
2026-08-11 20:16:14,795,,,,,,,,,,
2026-08-11 20:16:15,,,,,886,,,,,,
2026-08-11 20:16:15,,532,,,,,,,,532,
2026-08-11 20:16:15,,,,403,,,,,,,
2026-08-11 20:16:15,,,,,210,,,,,,
2026-08-11 20:16:15,458,,,,,,,,,,
2026-08-11 20:16:15,,,573,,,,,,,,573
2026-08-11 20:16:16,,397,,,,,,,,397,
2026-08-11 20:16:16,,,270,,,,,,,,270
2026-08-11 20:16:16,,,,,341,,,,,,
2026-08-11 20:16:16,,,,734,,,,,,,
2026-08-11 20:16:16,658,,,,,,,,,,
2026-08-11 20:16:17,,418,,,,,,,,418,
2026-08-11 20:16:17,,,218,,,,,,,,218
2026-08-11 20:16:17,,,,443,,,,,,,
2026-08-11 20:16:17,439,,,,,,,,,,
2026-08-11 20:16:17,,,,,472,,,,,,
2026-08-11 20:16:18,,409,,,,,,,,409,
2026-08-11 20:16:18,,,217,,,,,,,,217
2026-08-11 20:16:18,,,,402,,,,,,,
2026-08-11 20:16:18,445,,,,,,,,,,
2026-08-11 20:16:18,,,,,486,,,,,,
2026-08-11 20:16:19,,398,,,,,,,,398,
2026-08-11 20:16:19,,,213,,,,,,,,213
2026-08-11 20:16:19,,,,517,,,,,,,
2026-08-11 20:16:19,,,,,391,,,,,,
2026-08-11 20:16:19,660,,,,,,,,,,
2026-08-11 20:16:20,,409,,,,,,,,409,
2026-08-11 20:16:20,,,216,,,,,,,,216
2026-08-11 20:16:20,,,,363,,,,,,,
2026-08-11 20:16:20,,,,,373,,,,,,
2026-08-11 20:16:20,507,,,,,,,,,,
2026-08-11 20:16:21,,385,,,,,,,,385,
2026-08-11 20:16:21,,,228,,,,,,,,228
2026-08-11 20:16:21,,,,534,,,,,,,
2026-08-11 20:16:21,,,,,442,,,,,,
2026-08-11 20:16:21,611,,,,,,,,,,
2026-08-11 20:16:22,,409,,,,,,,,409,
2026-08-11 20:16:22,,,210,,,,,,,,210
2026-08-11 20:16:22,,,,396,,,,,,,
2026-08-11 20:16:22,,,,,374,,,,,,
2026-08-11 20:16:22,469,,,,,,,,,,
2026-08-11 20:16:23,,382,,,,,,,,382,
2026-08-11 20:16:23,,,260,,,,,,,,260
2026-08-11 20:16:23,,,,386,,,,,,,
2026-08-11 20:16:23,,,,,371,,,,,,
2026-08-11 20:16:23,608,,,,,,,,,,
2026-08-11 20:16:24,,412,,,,,,,,412,
2026-08-11 20:16:24,,,239,,,,,,,,239
2026-08-11 20:16:24,,,,,366,,,,,,
2026-08-11 20:16:24,,,,610,,,,,,,
2026-08-11 20:16:24,537,,,,,,,,,,
2026-08-11 20:16:25,,384,,,,,,,,384,
2026-08-11 20:16:25,,,272,,,,,,,,272
2026-08-11 20:16:25,,,,367,,,,,,,
2026-08-11 20:16:25,,,,,453,,,,,,
2026-08-11 20:16:26,600,,,,,,,,,,
2026-08-11 20:16:26,,408,,,,,,,,408,
2026-08-11 20:16:26,,,279,,,,,,,,279
2026-08-11 20:16:26,,,,,358,,,,,,
2026-08-11 20:16:27,,,,654,,,,,,,
2026-08-11 20:16:27,666,,,,,,,,,,
2026-08-11 20:16:27,,461,,,,,,,,461,
2026-08-11 20:16:27,,,372,,,,,,,,372
2026-08-11 20:16:27,,,,358,,,,,,,
2026-08-11 20:16:27,,,,,451,,,,,,
2026-08-11 20:16:28,600,,,,,,,,,,
2026-08-11 20:16:28,,417,,,,,,,,417,
2026-08-11 20:16:28,,,335,,,,,,,,335
2026-08-11 20:16:28,,,,,391,,,,,,
2026-08-11 20:16:29,,,,649,,,,,,,
2026-08-11 20:16:29,643,,,,,,,,,,
2026-08-11 20:16:29,,388,,,,,,,,388,
2026-08-11 20:16:29,,,288,,,,,,,,288
2026-08-11 20:16:29,,,,394,,,,,,,
2026-08-11 20:16:29,,,,,456,,,,,,
2026-08-11 20:16:30,593,,,,,,,,,,
2026-08-11 20:16:30,,410,,,,,,,,410,
2026-08-11 20:16:30,,,317,,,,,,,,317
2026-08-11 20:16:30,,,,,358,,,,,,
2026-08-11 20:16:30,,,,510,,,,,,,
2026-08-11 20:16:31,440,,,,,,,,,,
2026-08-11 20:16:31,,384,,,,,,,,384,
2026-08-11 20:16:31,,,268,,,,,,,,268
2026-08-11 20:16:31,,,,360,,,,,,,
2026-08-11 20:16:31,,,,,455,,,,,,
2026-08-11 20:16:32,,,,,,1270,,,,,
2026-08-11 20:16:32,607,,,,,,,,,,
2026-08-11 20:16:32,,413,,,,,,,,413,
2026-08-11 20:16:32,,,308,,,,,,,,308
2026-08-11 20:16:32,,,,,,725,,,,,
2026-08-11 20:16:32,,,,,397,,,,,,
2026-08-11 20:16:33,,,,534,,,,,,,
2026-08-11 20:16:33,,,,,,281,,,,,
2026-08-11 20:16:33,573,,,,,,,,,,
2026-08-11 20:16:33,,396,,,,,,,,396,
2026-08-11 20:16:33,,,300,,,,,,,,300
2026-08-11 20:16:33,,,,,343,,,,,,
2026-08-11 20:16:33,,,,410,,,,,,,
2026-08-11 20:16:34,,,,,,251,,,,,
2026-08-11 20:16:34,,406,,,,,,,,406,
2026-08-11 20:16:34,,,327,,,,,,,,327
2026-08-11 20:16:34,907,,,,,,,,,,
2026-08-11 20:16:34,,,,,371,,,,,,
2026-08-11 20:16:35,,,,,,247,,,,,
2026-08-11 20:16:35,,,,618,,,,,,,
2026-08-11 20:16:35,582,,,,,,,,,,
2026-08-11 20:16:35,,444,,,,,,,,444,
2026-08-11 20:16:35,,,369,,,,,,,,369
2026-08-11 20:16:35,,,,,376,,,,,,
2026-08-11 20:16:36,,,,378,,,,,,,
2026-08-11 20:16:36,,,,,,252,,,,,
2026-08-11 20:16:36,459,,,,,,,,,,
2026-08-11 20:16:36,,,266,,,,,,,,266
