"Time","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor1/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor2/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor3/Analysis/Diagnosis/prediction""}"
2026-08-11 07:27:37,549,,
2026-08-11 07:27:38,570,,
2026-08-11 07:27:39,570,,
2026-08-11 07:27:40,570,,
2026-08-11 07:27:41,590,,
2026-08-11 07:27:42,564,,
2026-08-11 07:27:44,546,,
2026-08-11 07:27:50,1349,,
2026-08-11 07:27:50,429,,
2026-08-11 07:27:51,,1428,
2026-08-11 07:27:51,474,,
2026-08-11 07:27:52,,1428,
2026-08-11 07:27:52,472,,
2026-08-11 07:27:53,,1015,
2026-08-11 07:27:53,,744,
2026-08-11 07:27:54,505,,
2026-08-11 07:27:55,473,900,
2026-08-11 07:27:55,,681,
2026-08-11 07:27:56,497,,
2026-08-11 07:27:57,,946,
2026-08-11 07:27:57,785,,
2026-08-11 07:27:58,515,690,
2026-08-11 07:27:59,521,706,
2026-08-11 07:28:00,,698,
2026-08-11 07:28:00,501,,
2026-08-11 07:28:01,,679,
2026-08-11 07:28:01,557,,
2026-08-11 07:28:02,562,667,
2026-08-11 07:28:03,,542,
2026-08-11 07:28:03,416,,
2026-08-11 07:28:04,,531,
2026-08-11 07:28:04,372,,
2026-08-11 07:28:05,,531,
2026-08-11 07:28:05,403,,
2026-08-11 07:28:06,,524,
2026-08-11 07:28:06,351,,
2026-08-11 07:28:07,596,776,
2026-08-11 07:28:08,,426,
2026-08-11 07:28:08,402,,
2026-08-11 07:28:09,,788,
2026-08-11 07:28:09,616,,
2026-08-11 07:28:10,,424,
2026-08-11 07:28:10,606,,
2026-08-11 07:28:11,386,540,
2026-08-11 07:28:12,364,510,
2026-08-11 07:28:13,511,660,
2026-08-11 07:28:14,,517,
2026-08-11 07:28:14,412,,
2026-08-11 07:28:15,,545,
2026-08-11 07:28:15,450,,
2026-08-11 07:28:16,,527,
2026-08-11 07:28:16,377,,
2026-08-11 07:28:17,,542,
2026-08-11 07:28:17,378,,
