flex-tig-stack-telegraf-1,2.73%,78.65MiB / 7.62GiB
flex-tig-stack-grafana-1,0.12%,49.17MiB / 7.62GiB
flex-tig-stack-influxdb-1,1.99%,151.1MiB / 7.62GiB
flex-tig-stack-telegraf-1,3.51%,78.91MiB / 7.62GiB
flex-tig-stack-grafana-1,0.07%,48.02MiB / 7.62GiB
flex-tig-stack-influxdb-1,2.04%,163.2MiB / 7.62GiB
flex-tig-stack-telegraf-1,0.10%,79.13MiB / 7.62GiB
flex-tig-stack-grafana-1,0.05%,48.43MiB / 7.62GiB
flex-tig-stack-influxdb-1,1.40%,158.9MiB / 7.62GiB
flex-tig-stack-telegraf-1,11.87%,79.2MiB / 7.62GiB
flex-tig-stack-grafana-1,0.12%,48.22MiB / 7.62GiB
flex-tig-stack-influxdb-1,6.64%,156.9MiB / 7.62GiB
flex-tig-stack-telegraf-1,6.34%,79.33MiB / 7.62GiB
flex-tig-stack-grafana-1,0.11%,48.47MiB / 7.62GiB
flex-tig-stack-influxdb-1,5.11%,172.4MiB / 7.62GiB
flex-tig-stack-telegraf-1,4.07%,79.02MiB / 7.62GiB
flex-tig-stack-grafana-1,0.56%,48.77MiB / 7.62GiB
flex-tig-stack-influxdb-1,5.83%,179MiB / 7.62GiB
flex-tig-stack-telegraf-1,10.84%,79.25MiB / 7.62GiB
flex-tig-stack-grafana-1,0.05%,48.34MiB / 7.62GiB
flex-tig-stack-influxdb-1,1.31%,188.7MiB / 7.62GiB
flex-tig-stack-telegraf-1,6.10%,78.67MiB / 7.62GiB
flex-tig-stack-grafana-1,0.06%,48.64MiB / 7.62GiB
flex-tig-stack-influxdb-1,3.66%,131.8MiB / 7.62GiB
flex-tig-stack-telegraf-1,3.93%,79.48MiB / 7.62GiB
flex-tig-stack-grafana-1,0.03%,48.73MiB / 7.62GiB
flex-tig-stack-influxdb-1,2.87%,140.8MiB / 7.62GiB
flex-tig-stack-telegraf-1,5.48%,79.63MiB / 7.62GiB
flex-tig-stack-grafana-1,0.04%,48.68MiB / 7.62GiB
flex-tig-stack-influxdb-1,11.30%,155.3MiB / 7.62GiB
flex-tig-stack-telegraf-1,6.02%,78.75MiB / 7.62GiB
flex-tig-stack-grafana-1,0.04%,48.88MiB / 7.62GiB
flex-tig-stack-influxdb-1,4.58%,166.2MiB / 7.62GiB
flex-tig-stack-telegraf-1,7.39%,79.2MiB / 7.62GiB
flex-tig-stack-grafana-1,0.06%,48.62MiB / 7.62GiB
flex-tig-stack-influxdb-1,8.23%,171.9MiB / 7.62GiB
flex-tig-stack-telegraf-1,6.57%,79.44MiB / 7.62GiB
flex-tig-stack-grafana-1,0.08%,48.44MiB / 7.62GiB
flex-tig-stack-influxdb-1,3.45%,175.9MiB / 7.62GiB
flex-tig-stack-telegraf-1,7.92%,79.67MiB / 7.62GiB
flex-tig-stack-grafana-1,0.11%,48.43MiB / 7.62GiB
flex-tig-stack-influxdb-1,6.40%,195.9MiB / 7.62GiB
flex-tig-stack-telegraf-1,8.51%,79.45MiB / 7.62GiB
flex-tig-stack-grafana-1,0.17%,49.08MiB / 7.62GiB
flex-tig-stack-influxdb-1,8.35%,138.3MiB / 7.62GiB
flex-tig-stack-telegraf-1,8.09%,79.9MiB / 7.62GiB
flex-tig-stack-grafana-1,0.07%,49.25MiB / 7.62GiB
flex-tig-stack-influxdb-1,8.01%,154MiB / 7.62GiB
flex-tig-stack-telegraf-1,11.31%,80.34MiB / 7.62GiB
flex-tig-stack-grafana-1,4.59%,49.04MiB / 7.62GiB
flex-tig-stack-influxdb-1,12.48%,166.1MiB / 7.62GiB
flex-tig-stack-telegraf-1,5.07%,80.03MiB / 7.62GiB
flex-tig-stack-grafana-1,0.03%,49.11MiB / 7.62GiB
flex-tig-stack-influxdb-1,7.91%,179.2MiB / 7.62GiB
