timestamp,cpu_percent,rss_mb
2026-08-11 07:52:01,5.8,261.2
2026-08-11 07:52:06,64.2,312.7
2026-08-11 07:52:11,29.4,261.3
2026-08-11 07:52:16,4.2,261.3
2026-08-11 07:52:21,6.6,261.3
2026-08-11 07:52:26,7.0,261.3
2026-08-11 07:52:31,5.2,261.3
2026-08-11 07:52:36,7.4,261.3
2026-08-11 07:52:41,7.6,261.3
2026-08-11 07:52:46,7.0,261.3
2026-08-11 07:52:51,6.8,261.3
2026-08-11 07:52:56,6.0,261.3
2026-08-11 07:53:01,6.6,261.3
2026-08-11 07:53:06,6.4,261.3
2026-08-11 07:53:11,6.6,261.3
2026-08-11 07:53:16,6.2,261.3
2026-08-11 07:53:21,5.4,261.3
2026-08-11 07:53:26,7.0,261.3
2026-08-11 07:53:31,7.2,261.3
2026-08-11 07:53:36,6.4,261.3
2026-08-11 07:53:41,7.4,261.3
2026-08-11 07:53:46,5.2,261.3
2026-08-11 07:53:51,6.2,261.3
2026-08-11 07:53:56,6.4,261.3
2026-08-11 07:54:01,6.6,261.3
2026-08-11 07:54:06,6.4,261.3
2026-08-11 07:54:11,5.2,261.3
2026-08-11 07:54:16,6.2,261.3
2026-08-11 07:54:21,6.6,261.3
2026-08-11 07:54:26,7.4,261.3
2026-08-11 07:54:31,6.4,261.3
2026-08-11 07:54:36,6.6,261.3
2026-08-11 07:54:41,5.0,261.3
2026-08-11 07:54:46,6.4,261.3
2026-08-11 07:54:51,7.6,261.3
2026-08-11 07:54:56,6.6,261.3
2026-08-11 07:55:01,7.4,261.3
2026-08-11 07:55:06,5.8,261.3
2026-08-11 07:55:11,6.2,261.3
2026-08-11 07:55:16,34.0,289.2
2026-08-11 07:55:21,66.2,333.6
2026-08-11 07:55:26,3.8,333.6
2026-08-11 07:55:31,4.8,333.6
2026-08-11 07:55:36,7.6,333.6
2026-08-11 07:55:41,7.4,333.6
2026-08-11 07:55:46,6.2,333.6
2026-08-11 07:55:51,7.4,333.6
2026-08-11 07:55:56,6.4,333.6
2026-08-11 07:56:01,6.6,333.6
2026-08-11 07:56:06,6.6,333.6
2026-08-11 07:56:11,6.2,333.6
2026-08-11 07:56:16,6.6,333.6
2026-08-11 07:56:21,7.4,333.6
2026-08-11 07:56:26,7.2,333.6
2026-08-11 07:56:31,6.4,333.6
2026-08-11 07:56:36,7.0,333.6
2026-08-11 07:56:41,7.4,333.6
2026-08-11 07:56:46,6.4,333.6
2026-08-11 07:56:51,7.2,333.6
2026-08-11 07:56:56,5.6,333.6
2026-08-11 07:57:01,6.6,333.6
2026-08-11 07:57:06,6.4,333.6
