timestamp,cpu_percent,rss_mb
2026-08-11 13:57:27,2.8,260.4
2026-08-11 13:57:32,6.6,260.4
2026-08-11 13:57:37,3.6,260.4
2026-08-11 13:57:42,7.6,260.4
2026-08-11 13:57:47,7.4,260.4
2026-08-11 13:57:52,4.4,260.4
2026-08-11 13:57:57,5.0,260.4
2026-08-11 13:58:02,5.8,260.4
2026-08-11 13:58:07,5.4,260.4
2026-08-11 13:58:12,7.8,260.4
2026-08-11 13:58:17,6.8,260.4
2026-08-11 13:58:22,6.8,260.4
2026-08-11 13:58:27,14.8,287.6
2026-08-11 13:58:32,54.6,260.3
2026-08-11 13:58:37,5.4,260.3
2026-08-11 13:58:42,5.8,260.3
2026-08-11 13:58:47,7.4,260.3
2026-08-11 13:58:52,7.2,260.3
2026-08-11 13:58:57,7.6,260.3
2026-08-11 13:59:02,7.0,260.3
2026-08-11 13:59:07,6.4,260.3
2026-08-11 13:59:12,3.8,260.3
2026-08-11 13:59:17,7.4,260.3
2026-08-11 13:59:22,7.4,260.3
2026-08-11 13:59:27,5.8,260.3
2026-08-11 13:59:32,3.8,260.3
2026-08-11 13:59:37,6.6,260.3
2026-08-11 13:59:42,7.4,260.3
2026-08-11 13:59:47,7.2,260.3
2026-08-11 13:59:52,6.0,260.3
2026-08-11 13:59:57,7.0,260.3
2026-08-11 14:00:02,7.4,260.3
2026-08-11 14:00:07,7.2,260.3
2026-08-11 14:00:12,4.6,260.3
2026-08-11 14:00:17,4.0,260.3
2026-08-11 14:00:22,3.8,260.3
2026-08-11 14:00:27,7.2,260.3
2026-08-11 14:00:32,3.8,260.3
2026-08-11 14:00:37,7.2,260.3
2026-08-11 14:00:42,6.8,260.3
2026-08-11 14:00:47,6.8,260.3
2026-08-11 14:00:52,7.2,260.3
2026-08-11 14:00:57,7.6,260.3
2026-08-11 14:01:02,7.2,260.3
2026-08-11 14:01:07,5.8,260.3
2026-08-11 14:01:12,3.8,260.3
2026-08-11 14:01:17,7.4,260.3
2026-08-11 14:01:22,7.6,260.3
2026-08-11 14:01:27,7.8,260.3
2026-08-11 14:01:32,5.4,260.3
2026-08-11 14:01:37,7.4,260.3
2026-08-11 14:01:42,63.6,323.2
2026-08-11 14:01:47,3.0,323.2
2026-08-11 14:01:52,7.4,323.2
2026-08-11 14:01:57,6.0,323.2
2026-08-11 14:02:02,5.8,323.2
2026-08-11 14:02:07,5.6,323.2
2026-08-11 14:02:12,3.8,323.2
2026-08-11 14:02:17,3.8,323.2
2026-08-11 14:02:22,7.6,323.2
2026-08-11 14:02:27,5.2,323.2
2026-08-11 14:02:32,3.8,323.2
2026-08-11 14:02:37,4.8,323.2
2026-08-11 14:02:42,3.8,323.2
2026-08-11 14:02:47,7.4,323.2
2026-08-11 14:02:52,6.0,323.2
2026-08-11 14:02:57,7.4,323.2
2026-08-11 14:03:02,7.4,323.2
2026-08-11 14:03:07,7.4,323.2
2026-08-11 14:03:12,7.2,323.2
2026-08-11 14:03:17,6.2,323.2
2026-08-11 14:03:22,6.6,323.2
2026-08-11 14:03:27,4.8,323.2
2026-08-11 14:03:32,6.8,323.2
2026-08-11 14:03:37,6.4,323.2
2026-08-11 14:03:42,7.0,323.2
2026-08-11 14:03:47,7.2,323.2
2026-08-11 14:03:52,7.8,323.2
2026-08-11 14:03:57,6.6,323.2
2026-08-11 14:04:02,3.0,323.2
2026-08-11 14:04:07,7.6,323.2
2026-08-11 14:04:12,6.4,323.2
2026-08-11 14:04:17,3.8,323.2
2026-08-11 14:04:22,7.4,323.2
2026-08-11 14:04:27,6.0,323.2
2026-08-11 14:04:32,7.2,323.2
2026-08-11 14:04:37,7.2,323.2
2026-08-11 14:04:42,7.6,323.2
2026-08-11 14:04:47,6.6,323.2
2026-08-11 14:04:52,62.6,377.2
2026-08-11 14:04:57,2.8,377.2
2026-08-11 14:05:02,6.6,377.2
2026-08-11 14:05:07,5.4,377.2
2026-08-11 14:05:12,5.6,377.2
2026-08-11 14:05:17,7.2,377.2
2026-08-11 14:05:22,6.2,377.2
2026-08-11 14:05:27,7.4,377.2
2026-08-11 14:05:32,3.8,377.2
2026-08-11 14:05:37,7.6,377.2
2026-08-11 14:05:42,3.6,377.2
